epoch,GAT,LSTM,loss_diff_gat_minus_lstm,better_model
1,0.2634690445661545,0.5952633770845704,-0.33179433251841595,GAT
2,0.17249565282464027,0.5902369571557511,-0.4177413043311108,GAT
3,0.1410312114059925,0.5883687414978542,-0.4473375300918617,GAT
4,0.12120004005730152,0.5868987481902749,-0.46569870813297337,GAT
