source_node,target_node,source_longitude,source_latitude,source_magnitude,target_longitude,target_latitude,target_magnitude,distance_km,time_gap_days
11,61,-168.294,52.251,4.7,-168.475,52.392,4.8,19.928581,7.0165845e-07
8,60,-167.9895,52.28,3.0,-168.167,52.185,3.0,16.053387,7.0139953e-07
0,55,-168.07,52.362,4.7,-168.203,52.302,3.5,11.233169,7.0101714e-07
9,60,-168.019,52.351,3.5,-168.167,52.185,3.0,21.027058,7.0011123e-07
0,54,-168.07,52.362,4.7,-168.108,52.275,2.9,10.012826,6.9987016e-07
1,55,-168.0493,52.2483,3.1,-168.203,52.302,3.5,12.041974,6.995713e-07
8,59,-167.9895,52.28,3.0,-168.084,52.257,2.8,6.9203587,6.9879457e-07
5,57,-168.0153,52.2873,2.8,-168.103,52.1712,2.8,14.224553,6.9870345e-07
1,54,-168.0493,52.2483,3.1,-168.108,52.275,2.9,4.977374,6.984243e-07
2,55,-168.196,52.208,3.4,-168.203,52.302,3.5,10.463178,6.983225e-07
8,58,-167.9895,52.28,3.0,-168.17,52.233,2.7,13.351179,6.9796283e-07
3,56,-168.1284,52.145,3.0,-168.274,52.065,3.5,13.342324,6.978818e-07
6,57,-167.97,52.277,3.5,-168.103,52.1712,2.8,14.848326,6.976606e-07
7,57,-168.139,52.392,4.5,-168.103,52.1712,2.8,24.673676,6.9753884e-07
4,56,-168.1641,52.2193,3.1,-168.274,52.065,3.5,18.72486,6.975071e-07
9,59,-168.019,52.351,3.5,-168.084,52.257,2.8,11.348267,6.9750627e-07
13,62,-168.0588,52.1124,2.9,-168.185,52.166,2.9,10.473699,6.97454e-07
2,54,-168.196,52.208,3.4,-168.108,52.275,2.9,9.560591,6.9717544e-07
9,58,-168.019,52.351,3.5,-168.17,52.233,2.7,16.662123,6.9667453e-07
10,60,-168.2331,52.1187,2.9,-168.167,52.185,3.0,8.642186,6.95184e-07
3,55,-168.1284,52.145,3.0,-168.203,52.302,3.5,18.182108,6.9447043e-07
4,55,-168.1641,52.2193,3.1,-168.203,52.302,3.5,9.5693445,6.940958e-07
8,57,-167.9895,52.28,3.0,-168.103,52.1712,2.8,14.357129,6.937304e-07
11,60,-168.294,52.251,4.7,-168.167,52.185,3.0,11.345167,6.9344327e-07
3,54,-168.1284,52.145,3.0,-168.108,52.275,2.9,14.522016,6.9332344e-07
4,54,-168.1641,52.2193,3.1,-168.108,52.275,2.9,7.276471,6.929488e-07
0,53,-168.07,52.362,4.7,-168.293,52.26,5.2,18.933084,6.9261955e-07
10,59,-168.2331,52.1187,2.9,-168.084,52.257,2.8,18.433739,6.92579e-07
9,57,-168.019,52.351,3.5,-168.103,52.1712,2.8,20.794153,6.924421e-07
12,61,-168.327,52.299,4.8,-168.475,52.392,4.8,14.422584,6.9229156e-07
5,56,-168.0153,52.2873,2.8,-168.274,52.065,3.5,30.367624,6.917958e-07
10,58,-168.2331,52.1187,2.9,-168.17,52.233,2.7,13.418157,6.917473e-07
1,53,-168.0493,52.2483,3.1,-168.293,52.26,5.2,16.639366,6.9117374e-07
11,59,-168.294,52.251,4.7,-168.084,52.257,2.8,14.310113,6.908383e-07
6,56,-167.97,52.277,3.5,-168.274,52.065,3.5,31.392744,6.9075287e-07
