trial_index,model,epoch,train_loss,val_threshold,val_precision,val_recall,val_f1,val_accuracy,val_balanced_accuracy,val_auc_roc,val_tpr_at_20_fpr,val_actual_fpr_at_selected_roc_point,val_roc_threshold_at_20_fpr
1,GAT,1,0.26676789826154707,0.35,0.24828263002944062,0.729106628242075,0.37042459736456806,0.57,0.6328533746171052,0.6519366586993172,0.3314121037463977,0.20024198427102238,0.505778968334198
1,GAT,2,0.18780912324786186,0.45,0.3473684210526316,0.760806916426513,0.47696476964769646,0.7105,0.7303732101793787,0.6880442684770159,0.5331412103746398,0.20024198427102238,0.5894709825515747
1,GAT,3,0.14268028797209262,0.6,0.36333878887070375,0.6397694524495677,0.46346555323590816,0.743,0.7022198744401499,0.6937129417999934,0.5590778097982709,0.19903206291591047,0.6933821439743042
1,GAT,4,0.12428643923997879,0.45,0.3279648609077599,0.6455331412103746,0.4349514563106796,0.709,0.6839280951060948,0.6687779271292611,0.521613832853026,0.19903206291591047,0.527561604976654
2,GAT,1,0.2669142147898674,0.75,0.2628434886499403,0.6340057636887608,0.3716216216216216,0.628,0.630372512818367,0.6061862895338315,0.37175792507204614,0.19600725952813067,0.9210203289985657
2,GAT,2,0.1782211427986622,0.75,0.31909547738693467,0.3659942363112392,0.3409395973154362,0.7545,0.6010249463467872,0.5209373926717817,0.40634005763688763,0.20024198427102238,0.7135158777236938
2,GAT,3,0.15120224192738532,0.9,0.27522935779816515,0.6051873198847262,0.3783783783783784,0.655,0.6353220325981405,0.614062982159762,0.5072046109510087,0.20024198427102238,0.9931926131248474
2,GAT,4,0.12501570217311384,0.9,0.21195652173913043,0.6743515850144092,0.32253618194348727,0.5085,0.5740178977703625,0.6197063761460692,0.4899135446685879,0.20024198427102238,0.9951617121696472
2,GAT,5,0.11299654089659453,0.9,0.2759084791386272,0.590778097982709,0.3761467889908257,0.66,0.6326546267288016,0.6288043222435498,0.4610951008645533,0.1996370235934664,0.9799964427947998
3,GAT,1,0.2634690445661545,0.8,0.24052004333694474,0.6397694524495677,0.34960629921259845,0.587,0.6078460087414204,0.6443737785286031,0.3112391930835735,0.20084694494857835,0.9072485566139221
